Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt,Số_âm_HV,Tần_suất_rank
爓,爓,yàn,diễm,1,
爔,爔,xī,~hy,1,
爕,爕,xiè,tiếp,1,
爖,爖,lóng,~lung,1,
爗,爗,yè,diệp,1,
爙,爙,rǎng,nháng,1,
爚,爚,yuè,dược,1,
爜,爜,cong2,thông,1,
爝,爝,jué,tước,1,
爟,爟,guàn,quán,1,
爢,爢,mi2,mật,1,
爤,爤,làn,lạn,1,
爥,爥,zhú,chúc,1,
爧,爧,ling2,linh,1,
爩,爩,yù,uất,1,
爮,爮,páo,bào,1,
爯,爯,chēng,xưng,1,
爼,爼,zǔ,trở,1,
牄,牄,qiāng,~thương,1,
牉,牉,pàn,phán,1,
牋,牋,jiān,tiên,1,
牏,牏,yú,du,1,
牐,牐,zhá,sáp,1,
牓,牓,bǎng,bảng,1,
牔,牔,bó,bác,1,
牕,牕,chuāng,song,1,
牜,牜,niú,ngưu,1,
牞,牞,jiu1,cửu,1,
牣,牣,rèn,nhận / nhẳn,2,
牤,牤,māng,mang,1,
牥,牥,fang1,phương,1,
牦,牦,máo,~mao,1,
牭,牭,si4,tư,1,
牮,牮,jiàn,tiến,1,
牶,牶,quàn,~khuyến,1,
牷,牷,quán,toàn,1,
牼,牼,kēng,khanh,1,
牿,牿,gù,cố,1,
犂,犂,lí,lưu / lê,2,
犄,犄,jī,cơ,1,
犆,犆,zhí,đặc,1,
犇,犇,bēn,bôn,1,
犉,犉,chún,nhuyên,1,
犋,犋,jù,cụ,1,
犎,犎,fēng,phong,1,
犗,犗,jiè,giới,1,
犛,牦,máo,ly / mao,2,
犠,犠,xī,nghé / hy,2,
犨,犨,chōu,thù,1,
犩,犩,wéi,nguy,1,
犪,犪,kuí,quỳ,1,
犭,犭,quǎn,khuyển,1,
犰,犰,qiú,cầu,1,
犷,犷,guǎng,~quánh,1,
犸,犸,mǎ,mã,1,
犼,犼,hǒu,hống,1,
狃,狃,niǔ,nữu,1,
狆,狆,zhòng,trọng,1,
狉,狉,pī,phi,1,
狌,狌,shēng,tinh / tính,2,
狒,狒,fèi,phí,1,
狓,狓,pí,phi,1,
狔,狔,nǐ,nai,1,
狘,狘,xuè,huyết,1,
狛,狛,bó,~bá,1,
狜,狜,kǔ,cổ,1,
狟,狟,huan2,hoàn,1,
狤,狤,ji2,ký,1,
狥,狥,xùn,tuẫn,1,
狦,狦,shān,san,1,
狧,狧,ta4,tha,1,
狫,狫,lǎo,lão,1,
狯,狯,kuài,~quái,1,
狰,狰,zhēng,~tranh,1,
狳,狳,yú,~dữ,1,
狴,狴,bì,bệ,1,
狵,狵,máng,mang,1,
狶,狶,xi1,tế,1,
狷,狷,juàn,quyến,1,
猁,猁,lì,lị / lợi,2,
猃,猃,xiǎn,hiểm,1,
猄,猄,jīng,~kinh,1,
猈,猈,bài,bãi,1,
猉,猉,qí,cầy,1,
猋,猋,biāo,tiêu,1,
猔,猔,zòng,~tung,1,
猕,猕,mí,mi,1,
猘,猘,zhì,chế,1,
猙,狰,zhēng,tranh,1,
猚,猚,ya2,nha,1,
猞,猞,shē,xá,1,
猟,猟,liè,liệp,1,
猡,猡,luó,la,1,
猣,猣,zōng,tông,1,
猧,猧,wo1,oa,1,
猨,猨,yuán,viên,1,
猭,猭,chuān,duyên,1,
猰,猰,yà,~á,1,
猳,猳,jiā,gia,1,
猵,猵,biān,biên,1,
猸,猸,méi,mi,1,
猹,猹,chá,~tra,1,
猺,猺,yáo,dao,1,
獀,獀,sōu,sưu,1,
獂,獂,yuan2,nguyên,1,
獆,獆,hao2,hào,1,
獉,獉,zhēn,trăn,1,
獌,獌,man4,man,1,
獓,獓,áo,ngao / ngáo,2,
獕,獕,cuī,toả,1,
獘,獘,bì,tệ,1,
獚,獚,huáng,hoàng,1,
獜,獜,lín,lân,1,
獝,獝,xù,húc,1,
獡,獡,shuo4,thuyết,1,
獢,獢,xiāo,kiêu,1,
獣,獣,shòu,tú,1,
獦,獦,ge2,cách,1,
獧,獧,juàn,quyến,1,
獪,狯,kuài,quái,1,
獱,㺍,biān,tân,1,
獳,獳,nòu,nậu,1,
獷,犷,guǎng,quánh / quảng,2,
獹,獹,lú,~lô,1,
獼,猕,mí,di / mi / my,3,
玀,猡,luó,la,1,
玂,玂,qí,kỳ,1,
玃,玃,jué,quặc,1,
玅,玅,miào,diệu,1,
玆,玆,zī,tư,1,
玈,玈,lú,lô,1,
玊,玊,sù,túc,1,
玍,玍,gǎ,ca,1,
玒,玒,hóng,cung,1,
玓,玓,dì,đích,1,
玔,玔,chuàn,xuyến,1,
玗,玗,yú,vu,1,
玙,玙,yú,~du,1,
玚,玚,yáng,đãng,1,
玞,玞,fū,phu,1,
玟,玟,wén,mân / văn,2,
玤,玤,bàng,bổng,1,
玥,玥,yuè,nguyệt,1,
玧,玧,mén,môn,1,
玨,玨,jué,giác,1,
玪,玪,jian1,kiên,1,
玭,玭,pín,biền,1,
玱,玱,qiāng,~thương,1,
玶,玶,píng,bình,1,
玼,玼,cǐ,thử,1,
玿,玿,sháo,thiều,1,
珃,珃,rǎn,nhiễm,1,
珇,珇,zǔ,~trở,1,
珉,珉,mín,mân / dân,2,
珋,珋,liǔ,~lữu,1,
珌,珌,bì,tất,1,
珎,珎,zhēn,trân,1,
珏,珏,jué,~giác,1,
珓,珓,jiào,giảo,1,
珔,珔,jiàn,tiến,1,
珖,珖,guāng,quang,1,
珘,珘,zhou1,châu,1,
珚,珚,yān,yên,1,
珝,珝,xǔ,~hủ,1,
珡,珡,qín,cầm,1,
珢,珢,yín,ngân,1,
珤,珤,bǎo,bảo,1,
珦,珦,xiàng,hướng,1,
珧,珧,yáo,diêu,1,
珱,珱,yīng,anh,1,
珳,珳,wén,~văn,1,
珴,珴,e2,ác,1,
珹,珹,chéng,~trình,1,
珺,珺,jùn,quận,1,
珻,珻,méi,~mi,1,
琀,琀,hán,hàm,1,
琁,琁,xuán,tuyền,1,
琄,琄,xuàn,~huyễn,1,
琈,琈,fú,phù,1,
琕,琕,pín,tần,1,
琖,琖,zhǎn,trản,1,
琗,琗,se4,sắc,1,
琘,琘,min2,dân,1,
琜,琜,lái,trai,1,
琝,琝,mín,~mân,1,
琠,琠,tiǎn,điển,1,
琡,琡,chu4,xử,1,
琣,琣,beng3,bằng,1,
琨,琨,kūn,côn,1,
琭,琭,lù,lộc,1,
琲,琲,bèi,bội,1,
琹,琹,qín,cầm,1,
瑂,瑂,méi,mi,1,
瑃,瑃,chūn,xuân,1,
瑆,瑆,xing1,hành,1,
瑇,瑇,dài,đại,1,
瑉,瑉,mín,mân,1,
瑊,瑊,jiān,châm,1,
瑌,瑌,ruǎn,~nhuyễn,1,
瑍,瑍,huan4,hoàn,1,
瑏,瑏,chuān,~xuyên,1,
瑑,瑑,zhuàn,triện,1,
瑒,玚,chàng,~trướng,1,
瑔,瑔,quán,~quyền,1,
瑘,瑘,yá,gia,1,
瑝,瑝,huang2,hoàng,1,
瑠,瑠,liú,lưu,1,
瑢,瑢,róng,dung,1,
瑨,瑨,jìn,tấn,1,
瑮,瑮,li4,lý,1,
瑯,瑯,láng,lang,1,
瑱,瑱,tiàn,thiến / chấn / trấn,3,
瑲,玱,qiāng,thương,1,
瑳,瑳,cuō,tha,1,
瑸,瑸,bīn,~tân,1,
瑺,瑺,chang2,xương,1,
瑻,瑻,kūn,côn,1,
瑽,瑽,cōng,xung,1,
瑿,瑿,yī,ê,1,
璂,璂,qí,kì,1,
璅,璅,suǒ,tỏa / toả,2,
璊,𫞩,mén,môn,1,
璎,璎,yīng,anh,1,
璗,𬍡,dàng,đãng,1,
璚,璚,qióng,quỳnh,1,
璢,璢,liú,lưu,1,
璥,璥,jǐng,cảnh,1,
璪,璪,zǎo,tảo,1,
璬,璬,jiǎo,kiểu,1,
璯,㻅,huì,~hội,1,
璱,璱,sè,sắt,1,
璲,璲,suì,toại,1,
璵,玙,yú,dư,1,
璸,瑸,bīn,tân,1,
瓀,瓀,ruǎn,nhuyễn / nhuyên,2,
瓁,瓁,wò,hoạch,1,
瓄,瓄,du2,đồ,1,
瓅,𬍛,lì,lịch,1,
瓈,瓈,lí,lê / ly,2,
瓉,瓉,zan4,tán,1,
瓌,瓌,guī,côi,1,
瓍,瓍,sui2,tuy,1,
瓐,瓐,lu2,lộ,1,
瓛,𤩽,huán,hoàn,1,
瓞,瓞,dié,điệt,1,
瓪,瓪,ban3,ban,1,
瓫,瓫,pen2,bôn,1,
瓬,瓬,fǎng,phưởng,1,
瓭,瓭,dan3,đan,1,
瓰,瓰,fēn,~phân,1,
瓱,瓱,háo,hào,1,
瓵,瓵,yí,~di,1,
瓸,瓸,bǎi,~bách,1,
瓹,瓹,juān,quyên,1,
瓻,瓻,chī,hi / hy,2,
瓼,瓼,lǐ,~lý,1,
甀,甀,zhuì,truỵ,1,
甁,甁,píng,bình,1,
甂,甂,biān,~biên,1,
甃,甃,zhòu,trứu,1,
甅,甅,lí,ly,1,
甇,甇,yīng,anh,1,
甋,甋,dì,đích,1,
甍,甍,méng,manh / mành,2,
甎,甎,zhuān,chuyên,1,
甒,甒,wǔ,vũ,1,
甔,甔,dān,đàm,1,
甖,甖,yīng,anh,1,
甛,甛,tián,điềm,1,
甝,甝,hán,hàm,1,
甞,甞,cháng,thường,1,
甡,甡,shēn,sân,1,
甤,甤,ruí,~nhuy,1,
甪,甪,lù,lộ,1,
甮,甮,fèng,~phượng,1,
甴,甴,zhá,~trát,1,
甹,甹,pīng,phinh,1,
甼,甼,tǐng,đĩnh,1,
甽,甽,zhèn,quyến,1,
甿,甿,méng,manh,1,
畁,畁,bì,~tất,1,
畂,畂,liù,mẫu / điền,2,
畄,畄,liú,lưu,1,
畆,畆,mǔ,mẫu,1,
畇,畇,yún,vận,1,
畊,畊,gēng,canh,1,
畐,畐,fú,~phục,1,
畒,畒,mǔ,mẫu,1,
畓,畓,duō,~xuyết,1,
畟,畟,cè,tắc,1,
畣,畣,dá,đáp,1,
畭,畭,yu2,ngọc,1,
畮,畮,mǔ,mẫu,1,
畯,畯,jùn,tuấn,1,
畱,畱,liú,lưu,1,
畳,畳,dié,điệp,1,
畷,畷,zhuì,chuyết,1,
畺,畺,jiāng,cương / cưng,2,
畽,畽,tǔn,thoản,1,
疀,疀,cha1,tra,1,
疂,疂,dié,điệp,1,
疉,疉,dié,điệp,1,
疎,疎,shū,sơ,1,
疐,疐,zhì,chí,1,
疒,疒,nè,nạch,1,
疓,疓,nǎi,đinh,1,
疕,疕,bǐ,phỉ,1,
疘,疘,gāng,giang,1,
疙,疙,gē,ngật,1,
疠,疠,lì,lệ,1,
疢,疢,chèn,sấn,1,
疧,疧,qí,kỳ,1,
疪,疪,bì,tì,1,
疬,疬,lì,lịch,1,
疭,疭,zòng,~túng,1,
疰,疰,zhù,chú,1,
疴,疴,kē,a / kha,2,
疶,疶,xuē,tiết,1,
疸,疸,dǎn,đản / đáp / đớn,3,
疻,疻,zhǐ,chỉ,1,
疿,疿,fèi,phi,1,
痀,痀,jū,câu / củ / khú,3,
痁,痁,shān,thiêm,1,
痃,痃,xuán,huyền / hiền,2,
痄,痄,zhà,chá / trá,2,
痌,痌,tōng,đồng / thông,2,
痍,痍,yí,di,1,
痏,痏,wěi,vị,1,
痐,痐,huí,hồi,1,
痑,痑,tān,than,1,
痖,痖,yǎ,~á,1,
痗,痗,mèi,mội,1,
痚,痚,xiāo,hiêu,1,
痜,痜,tū,thóc,1,
痟,痟,xiao1,tiêu,1,
痡,痡,fū,phô,1,
痤,痤,cuó,toạ,1,
痦,痦,wù,ngộ,1,
痩,痩,shòu,tú,1,
痬,痬,yi4,nghĩa,1,
痭,痭,bēng,~banh,1,
痮,痮,zhàng,trướng,1,
痯,痯,guǎn,quản,1,
痱,痱,fèi,phi / phỉ,2,
痲,痲,má,ma,1,
痶,痶,tiǎn,đẹn,1,
痷,痷,an1,an,1,
痺,痺,bì,tý,1,
痻,痻,mín,mân,1,
痼,痼,gù,cố,1,
痾,疴,ē,kha / a,2,
瘂,痖,yǎ,á,1,
瘃,瘃,zhú,chúc,1,
瘅,瘅,dān,đản,1,
瘆,瘆,shèn,rướm,1,
瘊,瘊,hóu,hầu,1,
瘌,瘌,là,lạt,1,
瘏,瘏,tú,đồ,1,
瘐,瘐,yǔ,dũ,1,
瘗,瘗,yì,ế,1,
瘙,瘙,sào,tố,1,
瘚,瘚,jué,quyết,1,
瘞,瘗,yì,ế,1,
瘥,瘥,chài,sái / ta,2,
瘩,瘩,da,đáp,1,
瘭,瘭,biāo,tiêu / tiếu,2,
瘳,瘳,chōu,sưu,1,
瘵,瘵,zhài,sái,1,
瘶,瘶,sòu,tú,1,
瘼,瘼,mò,mạc,1,
癀,癀,huáng,hoàng,1,
癁,癁,fu2,phú,1,
癃,癃,lóng,lung,1,
癄,癄,qiáo,tiều,1,
癅,癅,liú,lựu,1,
癈,癈,fèi,phế,1,
癉,瘅,dān,đan / đản,2,
癊,癊,yìn,ấm,1,
癎,癎,xián,giản,1,
癐,癐,guì,hội / uy / hủi,3,
癑,癑,nong4,nông,1,
癔,癔,yì,ý,1,
癕,癕,yōng,ung,1,
癗,癗,lěi,lũy,1,
癘,疠,lì,lệ,1,
癙,癙,shǔ,thử,1,
癜,癜,diàn,đẹn / điến,2,
癝,癝,lin3,lâm,1,
癠,癠,jì,tễ,1,
癦,癦,me,mạch,1,
癧,疬,lì,lịch,1,
癨,癨,huò,~hoắc,1,
癪,癪,jī,~tích,1,
癶,癶,bō,bát,1,
癹,癹,ba2,ba,1,
発,発,fā,phát,1,
癿,癿,bié / qié,qua,1,
皀,皀,jí,tấp,1,
皃,皃,mào,mạo,1,
皌,皌,mò,~một,1,
皐,皐,gāo,cao / cau,2,
皕,皕,bì,bức,1,
皜,皜,hào,hạo / cảo,2,
皡,皡,hào,hạo,1,
皣,皣,ye4,dã,1,
皤,皤,pó,bà,1,
皩,皩,huang4,hoàng,1,
皪,皪,lì,lịch,1,
皫,皫,piǎo,phiếu,1,
皭,皭,jiào,tước,1,
皲,皲,jūn,quân,1,
皳,皳,qiu2,thu,1,
皶,皶,zhā,~cha,1,
皸,皲,jūn,quân,1,
皹,皹,jūn,quân,1,
皼,皼,gǔ,cổ,1,
皽,皽,zhāo,chao,1,
皾,皾,du2,đồ,1,
盇,盇,hé,hạp,1,
盋,盋,bō,bát,1,
盙,盙,fǔ,~phủ,1,
盚,盚,qiú,cầu,1,
盝,盝,lù,lộc,1,
盨,盨,xu3,hư,1,
盩,盩,zhōu,chu,1,
盫,盫,an1,an,1,
盬,盬,gǔ,cổ,1,
盭,盭,lì,lệ,1,
盱,盱,xū,hu,1,
盵,盵,qì,~thế,1,
盺,盺,xīn,nhân,1,
盻,盻,xì,hễ,1,
眂,眂,shì,thị,1,
眄,眄,miàn / miǎn,miện,1,
眅,眅,pān,phàn,1,
眆,眆,fǎng,~phỏng,1,
眊,眊,mào,mạo,1,
県,県,xiàn,~hiển,1,
眍,眍,kōu,~khu,1,
眎,眎,shì,thị,1,
眐,眐,zheng1,chính,1,
眑,眑,yǎo,yểu,1,
眓,眓,huò,mù,1,
眔,眔,da4,đại,1,
眕,眕,zhěn,chẩn,1,
眙,眙,yí,di / dị,2,
眚,眚,shěng,sảnh,1,
眛,眛,mèi,muội,1,
眜,眜,mò,mắt,1,
眡,眡,shì,thị,1,
眣,眣,dié,điệt / chợt,2,
眪,眪,bǐng,rĩnh,1,
眱,眱,dì,di,1,
眲,眲,nè,~nọi,1,
睂,睂,méi,mi,1,
睄,睄,shào,sảo,1,
睅,睅,hàn,hạn,1,
睉,睉,cuo2,thoa,1,
睊,睊,juàn,quyến,1,
睎,睎,xī,hy,1,
睒,睒,shǎn,thiểm / gườm / gượm,3,
睓,睓,tiǎn,điễn,1,
睖,睖,lèng,lăng,1,
睗,睗,shì,~thị,1,
睚,睚,yá,nhai,1,
睟,睟,suì,tuý / túy,2,
睠,睠,juàn,quyến,1,
睤,睤,bì,bễ,1,
睥,睥,pì,bễ,1,
睧,睧,hūn,~hôn,1,
睯,睯,hūn,~hôn,1,
睱,睱,xià,hạ,1,
睵,睵,zai1,tái,1,
睸,睸,mèi,mí,1,
睼,睼,tiàn,thiến,1,
瞀,瞀,mào,mậu,1,
瞆,瞆,kuì,~quỹ,1,
瞇,瞇,mī,mị,1,
瞈,瞈,wěng,ổng,1,
瞋,瞋,chēn,sân / trân,2,
瞌,瞌,kē,khạp,1,
瞍,瞍,sǒu,tẩu,1,
瞓,瞓,fèn,~phẫn,1,
瞕,瞕,zhàng,trướng,1,
瞖,瞖,yì,ế,1,
瞘,眍,kōu,khu,1,
瞚,瞚,shun4,thuận,1,
瞜,䁖,lōu,lâu,1,
瞡,瞡,gui1,quy,1,
瞢,瞢,méng,măng,1,
瞤,瞤,rún,thuần / nhuần,2,
瞦,瞦,xi1,tế,1,
瞫,瞫,shěn,thẩm,1,
瞮,瞮,che4,xa,1,
瞯,瞯,xián,gián,1,
瞵,瞵,lín,lân,1,
瞶,瞆,guì,quý,1,
瞷,瞷,jiàn,gián,1,
瞹,瞹,ài,ái,1,
瞺,瞺,hui4,huệ,1,
矁,矁,chǒu,thiễu,1,
矈,矈,mián,miên,1,
矋,矋,lěi,lệ,1,
矑,矑,lú,lô / lư / lờ / lừ,4,
矔,矔,guàn,quán,1,
矕,矕,mǎn,vãn,1,
矘,矘,tang3,đường,1,
矟,矟,shuò,sáo / sác,2,
矠,矠,zé,tích,1,
矡,矡,jue2,quyết,1,
矦,矦,hóu,hầu,1,
矨,矨,yǐng,~sến,1,
矰,矰,zēng,tăng,1,
矱,矱,yuē,hoạch,1,
矴,矴,dìng,đính,1,
矷,矷,zǐ,chỉ,1,
矺,矺,zhé,trách,1,
矻,矻,kū,ngột / khốt,2,
矼,矼,gāng,xoang / khang / cang,3,
砃,砃,dān,đan,1,
砄,砄,jué,quyết,1,
砅,砅,lì,lệ,1,
砈,砈,ě,ngã,1,
砋,砋,zhi3,chí,1,
砐,砐,è,~ngạc,1,
砕,砕,suì,~toái,1,
砞,砞,mò,~một,1,
砠,砠,jū,thư,1,
砢,砢,kē,loã,1,
砪,砪,mu3,mộc,1,
砮,砮,nǔ,nỗ,1,
砯,砯,pīng,~binh,1,
砳,砳,lè,lặc,1,
砵,砵,bō,bát,1,
砼,砼,tóng,đồng,1,
砿,砿,kuàng,kháng,1,
硁,硁,kēng,~khanh,1,
硉,硉,lù,~lục,1,
硊,硊,huì / wěi,nghĩ,1,
硋,硋,ai4,ai,1,
硍,硍,yín / xiàn,khẩn,1,
硏,硏,yán,nghiễn / nghiên,2,
硑,硑,pēng,~phanh,1,
硔,硔,hong2,hồng,1,
硚,硚,qiáo,kiều,1,
硜,硁,kēng,khanh,1,
硞,硞,que4,khuyết,1,
硟,硟,chàn,~sám,1,
硠,硠,lang2,lang,1,
硧,硧,yǒng,dũng,1,
硵,硵,lǔ,lỗ,1,
硸,硸,nüè,~ngược,1,
硻,硻,kēng,~khanh,1,
硾,硾,zhuì,truỵ,1,
硿,硿,kong1,không,1,
碂,碂,zong4,tông,1,
碃,碃,qìng,thanh,1,
碆,碆,bō,ba,1,
碈,碈,hūn / mín,~mân,1,
碏,碏,què,thước,1,
碝,碝,ruǎn,~nhuyễn,1,
碞,碞,yán,nham,1,
碡,碡,zhóu / dú,độc,1,
碥,碥,biǎn,biển,1,
碨,碨,wèi,~uý,1,
碪,碪,zhēn,châm,1,
碫,碫,duàn,đoán,1,
碬,碬,xiá,hà,1,
碯,碯,nǎo,não,1,
碶,碶,qì,khế,1,
碹,碹,xuan4,huyền,1,
碻,碻,què,xác,1,
碽,䂵,gōng,cung,1,
磃,磃,si1,tư,1,
磇,磇,pī,~tì,1,
磈,磈,wěi,uỷ,1,
磉,磉,sǎng,tảng,1,
磌,磌,tián,điền,1,
磎,磎,xī,~tây,1,
磒,磒,yǔn,~vẫn,1,
磓,磓,duī,đôi,1,
磖,磖,lá,~lạt,1,
磗,磗,zhuān,chuyên,1,
磙,磙,gǔn,cổn,1,
磛,磛,chán,sàm,1,
磜,磜,qì,~khế,1,
磝,磝,ao2,áo,1,
磟,磟,liù,lựu,1,
磠,硵,lǔ,lỗ,1,
磡,磡,kàn,khám,1,
磢,磢,chuǎng,~sấm,1,
磤,磤,yǐn,ân,1,
磪,磪,cuī,thôi,1,
磭,磭,chuò,~xước,1,
磲,磲,qú,cừ,1,
磵,磵,jiàn,giản,1,
磹,磹,tán,điệm,1,
磻,磻,pán,bàn / bà,2,
磼,磼,za2,tạp,1,
礀,礀,jiàn,gián,1,
礃,礃,zhǎng,tưởng,1,
礄,硚,qiáo,kiều,1,
礐,𬒈,què,xác,1,
礓,礓,jiāng,cương,1,
礗,礗,pīn,~phanh,1,
礚,礚,kē,khái,1,
礜,礜,yù,dự,1,
礝,礝,ruǎn,nhuyễn,1,
礞,礞,méng,mông,1,
礟,礟,pào,pháo,1,
礡,礡,bó,bạc,1,
礤,礤,cǎ,sát,1,
礧,礧,léi,lôi,1,
礲,礲,lóng,~lung,1,
礳,礳,mò,~mạch,1,
礴,礴,bó,bạc,1,
礵,礵,shuāng,~sương,1,
礶,礶,guàn,quán,1,
礿,礿,yuè,dược / thược,2,
祃,祃,mà,mạ,1,
祄,祄,xiè,giới,1,
祊,祊,bēng,banh,1,
祋,祋,dui4,đối,1,
祍,祍,rèn,nhẫm,1,
祒,祒,tiao2,điều,1,
祔,祔,fù,phụ,1,
祘,祘,suàn,toán,1,
祙,祙,mèi,mị,1,
祣,祣,lv3,lữ,1,
祩,祩,zhù,chú,1,
祪,祪,gui3,quy,1,
祬,祬,zhi1,chí,1,
祰,祰,gao4,cao,1,
祲,祲,jìn,tẩm,1,
祳,祳,shen4,thần,1,
祵,祵,kun3,khôn,1,
祹,祹,tao2,đào,1,
祼,祼,guàn,quán,1,
禂,禂,dǎo,đảo,1,
禇,禇,zhě,trữ,1,
禊,禊,xì,hễ,1,
禋,禋,yīn,nhân / yên,2,
禌,禌,zi1,tử,1,
禑,禑,wú,ngô,1,
禓,禓,yáng,dương,1,
禔,禔,zhī,đề,1,
禖,禖,méi,môi,1,
禘,禘,dì,đế,1,
禚,禚,zhuó,chước,1,
禜,禜,yǒng,vinh,1,
禝,禝,jì,~tế,1,
禠,禠,sī,tư,1,
禡,祃,mà,mã,1,
禢,禢,tà,tháp,1,
禤,禤,xuān,huyên,1,
禥,禥,qí,kì,1,
禩,禩,sì,tự,1,
禫,禫,dàn,đạm / đệm,2,
禴,禴,yuè,dược,1,
禵,禵,ti2,đề,1,
禸,禸,róu,nhựu,1,
禼,禼,xiè,tiết,1,
秄,秄,zǐ,chỉ,1,
秇,秇,yì,~nghệ,1,
秊,秊,nián,niên,1,
秌,秌,qiū,thu,1,
秏,秏,hào,hao,1,
秐,秐,yún,~vân,1,
秔,秔,jīng,canh,1,
秖,秖,zhī,kì,1,
秗,秗,yu4,ngọc,1,
秚,秚,bàn,~bận,1,
秜,秜,ní,ni,1,
秝,秝,lì,lịch,1,
秠,秠,pī,phi,1,
秥,秥,nián,chiêm,1,
秪,秪,zhī,~kì,1,
秬,秬,jù,cự,1,
秭,秭,zǐ,tỉ / tỷ,2,
秮,秮,huo2,hoạt,1,
秴,秴,he2,hợp,1,
秹,秹,ren3,nhân,1,
秼,秼,zhu1,chủ,1,
稆,稆,lǚ,lữ,1,
稇,稇,kǔn,khổn,1,
稉,稉,jīng,canh,1,
稊,稊,tí,đề / thê,2,
稌,稌,tú,đồ,1,
稏,䅉,yà,á,1,
稑,稑,lù,lục,1,
稒,稒,gu4,cổ,1,
稖,稖,bàng,bàng,1,
稘,稘,jī,~tích,1,
稙,稙,zhī,trị,1,
稛,稛,kǔn,khổn,1,
稞,稞,kē,khoa,1,
稧,稧,xi4,tế,1,
稨,稨,biǎn,biển,1,
稬,稬,nuò,noạ,1,
稭,稭,jiē,kiết / giai,2,
稲,稲,dào,~đạo,1,
稸,稸,xu4,hư,1,
稺,稺,zhì,trĩ,1,
稾,稾,gǎo,cảo,1,
穂,穂,suì,~tuệ,1,
穄,穄,jì,tế,1,
穅,穅,kāng,khang,1,
穈,穈,méi,môn,1,
穉,穉,zhì,trĩ,1,
穊,穊,jì,ký / cấy,2,
穋,穋,lù,lục,1,
穏,穏,wěn,ùn,1,
穐,穐,qiū,thu,1,
穜,穜,tóng,đồng,1,
穞,穞,lǚ,~lúa,1,
穟,穟,suì,toại,1,
穣,穣,ráng,dương,1,
穤,穤,nuò,nhu / noạ,2,
穧,穧,jì,tế,1,
穪,穪,chēng,~xưng,1,
穭,穞,lǚ,lữ / lúa,2,
穮,穮,biāo,tiêu,1,
穯,穯,sè,~sắc,1,
穵,穵,wā,ấp / oạt,2,
穻,穻,yu1,ngọc,1,
穼,穼,shen1,thần,1,
穽,穽,jǐng,tỉnh,1,
窂,窂,láo,~lao,1,
窅,窅,yǎo,yểu,1,
窉,窉,bǐng,~bỉnh,1,
窊,窊,wā,oa,1,
窋,窋,zhú,truật,1,
窌,窌,jiào,giáo,1,
窎,窎,diào,điếu,1,
窓,窓,chuāng,song,1,
窔,窔,yào,yểu / diểu,2,
窢,窢,xu1,hư,1,
窰,窰,yáo,diêu,1,
窴,窴,tián,điền,1,
窵,窎,diào,điếu,1,
窹,窹,wu4,vũ,1,
窻,窻,chuāng,song,1,
窽,窽,kuǎn,khoản,1,
窾,窾,kuǎn,khoản,1,
窿,窿,lóng,lung,1,
竁,竁,cuì,xuế,1,
竃,竃,zào,hung,1,
竉,竉,lǒng,lung,1,
竍,竍,shí,thập,1,
竏,竏,qiān,thiên,1,
竒,竒,qí,kì,1,
竓,竓,háo,hào,1,
竔,竔,shēng,~thăng,1,
竕,竕,fēn,~phân,1,
竘,竘,qu3,khứ,1,
竚,竚,zhù,trữ,1,
竜,竜,lóng,long,1,
竝,竝,bìng,tịnh,1,
竡,竡,bǎi,~bách,1,
竢,竢,sì,sĩ,1,
竰,竰,lí,~li,1,
竸,竸,jìng,cạnh,1,
竼,竼,péng,~bong,1,
笍,笍,zhui4,truy,1,
笚,笚,da1,đại,1,
笜,笜,zhu2,chủ,1,
笡,笡,qie4,thiết,1,
笧,笧,cè,sách,1,
笭,笭,líng,linh,1,
笯,笯,nú,nô / nò,2,
笰,笰,fú,phất,1,
笲,笲,fán,phiền,1,
笴,笴,gǎn,~cảm,1,
笵,笵,fàn,phạm,1,
笹,笹,tì,thế,1,
笻,笻,qióng,cung,1,
筀,筀,guì,kế,1,
筁,筁,qū,khúc,1,
筃,筃,yīn,nhân,1,
筈,筈,kuò,quát,1,
筊,筊,xiáo,giảo,1,
筌,筌,quán,thuyên,1,
筎,筎,rú,~như,1,
筓,筓,jī,kê,1,
筕,筕,háng,~hàng,1,
筘,筘,kòu,khấu,1,
筚,筚,bì,tất,1,
筞,筞,cè,sách,1,
筠,筠,yún,quân,1,
筢,筢,pá,ba,1,
筤,筤,láng,lang / lẵng,2,
筥,筥,jǔ,cử / rá,2,
筩,筩,tóng,đồng / thúng,2,
筬,筬,chéng,~thành,1,
筭,筭,suàn,toán / toan,2,
筯,筯,zhù,trợ,1,
筳,筳,tíng,đình,1,
筴,䇲,cè,giáp / sách / hiệp,3,
筸,筸,gān,cao / can,2,
筺,筺,kuāng,~khuông,1,
筻,筻,gàng,gánh,1,
筼,筼,yún,~vân,1,
箂,箂,lái,lai,1,
箄,箄,bǐ,bài,1,
箆,箆,bì,bề,1,
箊,箊,yū,ư,1,
箎,箎,chí,trì,1,
箑,箑,shà,tiệp,1,
箒,箒,zhǒu,chổi / trửu,2,
箚,箚,zhá,tráp,1,
箛,箛,gū,cô,1,
箜,箜,kōng,không,1,
箠,箠,chuí,chuỷ / chủy,2,
箥,箥,bo3,bộ,1,
